POINT,ミーゼス応力,最大主応力(σ1),中間主応力(σ2),最小主応力(σ3),トレスカ応力,最大主歪み
1815,1.22E+00,1.15E+00,0.00E+00,-9.13E-02,1.29E+00,1.61E-05
1816,1.04E+00,9.49E-01,0.00E+00,-6.00E-02,1.16E+00,1.49E-05
1817,9.73E-01,7.62E-01,0.00E+00,-1.70E-01,1.12E+00,1.13E-05
1818,1.15E+00,5.72E-01,0.00E+00,-7.25E-01,1.30E+00,1.11E-05
1819,1.23E+00,6.49E-01,0.00E+00,-7.19E-01,1.37E+00,1.40E-05
1820,1.30E+00,7.05E-01,0.00E+00,-7.40E-01,1.45E+00,1.44E-05
1821,1.17E+00,2.35E-01,0.00E+00,-1.01E+00,1.26E+00,1.03E-05
1822,1.13E+00,2.88E-01,0.00E+00,-9.24E-01,1.23E+00,6.90E-06
1823,1.03E+00,-5.95E-02,0.00E+00,-1.04E+00,1.11E+00,7.84E-06
1824,9.65E-01,-1.74E-02,0.00E+00,-9.46E-01,1.04E+00,4.26E-06
1825,1.25E+00,1.42E-01,0.00E+00,-1.15E+00,1.35E+00,7.56E-06
1826,2.42E-01,2.41E-01,0.00E+00,-7.86E-05,2.44E-01,9.31E-06
1827,3.19E-01,1.56E-02,0.00E+00,-3.08E-01,3.39E-01,5.20E-06
1828,6.68E-01,3.71E-01,0.00E+00,-3.85E-01,7.56E-01,7.66E-06
1829,6.20E-01,3.05E-01,0.00E+00,-3.65E-01,7.02E-01,4.89E-06
1830,4.36E-01,2.65E-01,0.00E+00,-2.33E-01,4.98E-01,5.47E-06
1831,4.44E-01,2.25E-01,0.00E+00,-2.71E-01,4.96E-01,3.97E-06
1832,7.01E-01,3.74E-01,0.00E+00,-3.58E-01,7.45E-01,3.46E-06
1833,4.09E-01,3.41E-01,0.00E+00,-9.18E-02,4.52E-01,4.89E-06
1834,4.43E-01,3.77E-01,0.00E+00,-1.02E-01,4.84E-01,6.28E-06
1835,6.21E-01,5.55E-01,0.00E+00,-1.06E-01,6.71E-01,8.49E-06
1836,7.68E-01,7.14E-01,0.00E+00,-6.22E-02,8.31E-01,1.04E-05
1837,6.19E-01,3.22E-01,0.00E+00,-3.35E-01,6.85E-01,6.54E-06
1838,4.29E-01,2.17E-01,0.00E+00,-2.38E-01,4.63E-01,4.98E-06
1839,2.30E-01,1.47E-01,0.00E+00,-6.90E-02,2.53E-01,2.75E-06
1840,6.54E-01,3.12E-01,0.00E+00,-3.84E-01,7.10E-01,7.07E-06
1841,6.65E-01,1.76E-01,0.00E+00,-5.55E-01,7.35E-01,5.10E-06
